"posts";"forum_id";"thread_id";"title";"url"
10856;193157;1773162985;"Navy Yard shooting: Questions remain as calls for gun legislation grow ";"http://www.cnn.com/2013/09/18/us/navy-yard-shooting-main/index.html"
254;193157;1749736186;"Colorado recall election prompts gun debate";"http://www.cnn.com/2013/09/11/politics/guns-debate/index.html"
329;193157;1777180721;"5 ways a healthy diet is making you tired";"http://www.cnn.com/2013/09/19/health/tired-dragging-diet-change/index.html"
336;193157;1708255351;"Sarah Palin's offensive remarks about Syria";"http://www.cnn.com/2013/09/04/opinion/obeidallah-palin-arabic/index.html"
346;193157;1784940769;"Police confirm identity of baby's remains found in New York river";"http://www.cnn.com/2013/09/21/us/new-york-missing-baby-remains/index.html"
507;193157;1767123368;"Obama pressures conservative Republicans over possible shutdown";"http://www.cnn.com/2013/09/16/politics/obama-shutdown/index.html"
4830;193157;1767675112;"Mass. man who plotted to eat children asks for prison, lifetime supervision";"http://www.cnn.com/2013/09/16/justice/cannibal-eat-children-case/index.html"
1217;193157;1760943953;"2 children found dead in Southern California hotel room";"http://www.cnn.com/2013/09/14/justice/california-children-killed/index.html"
114;193157;1750044112;"Internet, Wall Street unimpressed by new iPhones";"http://www.cnn.com/2013/09/11/tech/innovation/apple-iphone-innovation-debate/index.html"
258;193157;1781913784;"The new Franciscan revolution ";"http://www.cnn.com/2013/09/20/opinion/perry-pope-francis/index.html"
389;193157;1758640683;"Bus carrying 80 people flips in Ohio";"http://www.cnn.com/2013/09/14/us/ohio-bus-flips/index.html"
322;193157;1755202870;"Joe Biden courts presidential speculation with Iowa trip";"http://www.cnn.com/2013/09/13/politics/biden-iowa/index.html"
1482;193157;1769945206;"Countdown for Kendall Jenner turning 18: Gross or fair game?";"http://www.cnn.com/2013/09/17/living/parents-countdown-clock-kendall-jenner/index.html"
306;193157;1753285817;"Mark Zuckerberg: I want to meet someone new every day";"http://www.cnn.com/2013/09/12/tech/social-media/zuckerberg-annual-challenges/index.html"
143;193157;1765778209;"The story behind Hispanic Heritage Month";"http://www.cnn.com/2013/09/16/opinion/hispanic-heritage-month-history/index.html"
664;193157;1756232203;"Give Apple your fingerprint? It's your call";"http://www.cnn.com/2013/09/13/opinion/apple-iphone-fingerprint-privacy-opinion/index.html"
120;193157;1746295028;"Mom's sexy 'selfies' ban: Is there a different standard for girls?";"http://www.cnn.com/2013/09/10/living/parents-double-standard-boys-girls-online/index.html"
298;193157;1778641912;"Tackling the military's insider threat";"http://www.cnn.com/2013/09/19/opinion/bergen-military-enemy-within/index.html"
998;193157;1761918288;"Japan shuts down last nuclear reactor -- for now";"http://www.cnn.com/2013/09/15/world/asia/japan-nuclear-reactor-shutdown/index.html"
1670;193157;1755835921;"'A little creepy': Montana bride's custom wedding song talks of falling";"http://www.cnn.com/2013/09/13/justice/montana-husband-death-song/index.html"
7269;193157;1773967116;"Government shutdown: Again? Seriously?";"http://www.cnn.com/2013/09/18/politics/shutdown-groundhog-day/index.html"
103;193157;1780226727;"Super Typhoon Usagi nears Philippines, Taiwan";"http://www.cnn.com/2013/09/20/world/asia/typhoon-usagi/index.html"
140;193157;1769230510;"Africa's elderly leaders 'risk more revolutions'";"http://www.cnn.com/2013/09/17/opinion/africas-aging-leaders-risk-ibrahim/index.html"
165;193157;1771881163;"When the top cop is a woman";"http://www.cnn.com/2013/09/17/opinion/drexler-shooting-women/index.html"
645;193157;1753159823;"Point/Counterpoint: Examining key themes from Putin's opinion piece";"http://www.cnn.com/2013/09/12/politics/putin-syria-point-counterpoint/index.html"
27999;193157;1765857107;"Shots fired inside D.C. naval facility";"http://www.cnn.com/2013/09/16/us/dc-navy-yard-gunshots/index.html"
398;193157;1770153979;"Where is 'red line' on rape in war?";"http://www.cnn.com/2013/09/17/opinion/wolfe-red-line-on-rape/index.html"
110;193157;1739846044;"The legacy of Danny Lewin, the first man to die on 9/11";"http://www.cnn.com/2013/09/09/tech/innovation/danny-lewin-9-11-akamai/index.html"
296;193157;1766273932;"Miss America 2014: Butt glue, 'Breaking Bad' jokes, and more highlights";"http://www.cnn.com/2013/09/16/showbiz/tv/miss-america-moments-ew/index.html"
265;193157;1764665565;"International adoption: From refugee to soccer MVP";"http://www.cnn.com/2013/09/16/world/international-adoption-srey-powers-cambodia-refugee/index.html"
4547;193157;1769549675;"Should we vilify the rich?";"http://www.cnn.com/2013/09/17/opinion/sutter-rich-villains/index.html"
454;193157;1771727052;"Los Angeles district pays $27 million to pupils in lewd teacher case";"http://www.cnn.com/2013/09/17/us/california-lewd-school-settlement/index.html"
1926;193157;1756957344;"If 'E.T.' finds Voyager 1, will it phone Earth?";"http://www.cnn.com/2013/09/13/opinion/urry-voyager-spacecraft/index.html"
142;193157;1775860915;"Feds: NY man active in immigration reform arrested on child porn charge";"http://www.cnn.com/2013/09/18/us/child-porn-charges-immigration-activist/index.html"
438;193157;1782001383;"Human trafficking case against Saudi princess dropped";"http://www.cnn.com/2013/09/20/justice/california-saudi-princess-charged/index.html"
2890;193157;1752796128;"U.S. measles cases in 2013 may be most in 17 years";"http://www.cnn.com/2013/09/12/health/worst-measles-year/index.html"
229;193157;1776073986;"The dangers of being a cartoonist in the Arab world";"http://www.cnn.com/2013/09/18/world/meast/the-dangers-of-being-a-cartoonist/index.html"
315;193157;1776359488;"Brain-eating amoeba may be linked to Hurricane Katrina ";"http://www.cnn.com/2013/09/19/us/louisiana-brain-amoeba-water-supply/index.html"
835;193157;1772979244;"U.N. report highlights 'unspeakable atrocities' in North Korea";"http://www.cnn.com/2013/09/18/world/asia/north-korea-human-rights-kirby/index.html"
302;193157;1781072851;"EPA limits carbon pollution from new power plants";"http://www.cnn.com/2013/09/20/politics/epa-carbon-power-plants/index.html"
2190;193157;1780598807;"Don't be shocked by Pope Francis";"http://www.cnn.com/2013/09/20/opinion/donohue-pope-francis/index.html"
229;193157;1750498551;"As Brazil's uproar over NSA grows, U.S. vows to work through tensions";"http://www.cnn.com/2013/09/11/world/americas/brazil-nsa/index.html"
388;193157;1778070461;"Apple's new iOS follows the leader";"http://www.cnn.com/2013/09/19/opinion/rushkoff-apple-ios-baby-steps/index.html"
114;193157;1755806223;"Costa Concordia: Has master mariner in charge of salvage met his match?";"http://www.cnn.com/2013/09/13/world/costa-concordia-nick-sloane/index.html"
1441;193157;1753589907;"Fire engulfs buildings on famous New Jersey boardwalk";"http://www.cnn.com/2013/09/12/us/new-jersey-boardwalk-fire/index.html"
328;193157;1769809385;"Miss America, Julie Chen and the beauty of choice";"http://www.cnn.com/2013/09/17/living/identity-miss-america-opinion-beauty/index.html"
139;193157;1758612532;"Costa Concordia: How cruise ship tragedy transformed an island paradise";"http://www.cnn.com/2013/09/14/world/costa-concordia-giglio/index.html"
127;193157;1759448803;"Investigators seeking cause of boardwalk fire on Jersey shore";"http://www.cnn.com/2013/09/14/us/new-jersey-boardwalk-fire/index.html"
123;193157;1552563838;"NSA chief: Snooping is crucial to fighting terrorism";"http://www.cnn.com/2013/07/31/tech/web/nsa-alexander-black-hat/index.html"
475;193157;1754071049;"Remains of 2 airmen missing since WWII found";"http://www.cnn.com/2013/09/12/us/wwii-airmen-remains-found/index.html"
855;193157;1776923831;"Oklahoma lake bodies: Diver, trooper recount discovery ";"http://www.cnn.com/2013/09/19/us/oklahoma-lake-bodies/index.html"
729;193157;1785499146;"Several football players take part in protest for NCAA reforms";"http://www.cnn.com/2013/09/21/sport/college-football-protest/index.html"
714;193157;1764609593;"International adoption: I was stolen from my family";"http://www.cnn.com/2013/09/16/opinion/international-adoption-tarikuwa-lemma-stolen-children/index.html"
1045;193157;1758426035;"Fighting dogs now being trained to love";"http://www.cnn.com/2013/09/14/us/dog-fight-rehabilitation/index.html"
115;193157;1781825991;"NASA deep-sixes Deep Impact comet hunter";"http://www.cnn.com/2013/09/20/us/nasa-comet-hunter/index.html"
857;193157;1755579795;"The three scariest words: I don't know";"http://www.cnn.com/2013/09/13/opinion/cohen-i-dont-know/index.html"
393;193157;1774469371;"Human rights activist in Iran freed";"http://www.cnn.com/2013/09/18/world/meast/iran-activist-freed/index.html"
1313;193157;1752974469;"Voyager 1 probe becomes first man-made object to leave solar system";"http://www.cnn.com/2013/09/12/tech/innovation/voyager-solar-system/index.html"
2236;193157;1775609497;"Pentagon proposes training for Syrian rebels";"http://www.cnn.com/2013/09/18/politics/us-syria-training/index.html"
6704;193157;1761971480;"Yemen minister on child marriage: 'Enough is enough'";"http://www.cnn.com/2013/09/15/world/meast/yemen-child-bride/index.html"
195;193157;1751284463;"Syria civil war: 5 things to pay attention to today";"http://www.cnn.com/2013/09/12/world/meast/syria-civil-war-diplomacy/index.html"
201;193157;1755553554;"Middle East reconfigured: Turkey vs. Iran vs. Saudi Arabia";"http://www.cnn.com/2013/09/13/opinion/khanna-cagaptay-turkey-iran-saudi-arabia/index.html"
522;193157;1771309263;"Is the U.S. back to square one on Syria?";"http://www.cnn.com/2013/09/17/politics/u-s-syria-square-one/index.html"
597;193157;1762861431;"Taliban bomb kills top Pakistani general, officers";"http://www.cnn.com/2013/09/15/world/asia/pakistan-swat-taliban-attack/index.html"
266;193157;1756651461;"Dozens evacuated amid N.M. flooding";"http://www.cnn.com/2013/09/13/us/new-mexico-flooding/index.html"
297;193157;1751045291;"Syrian crisis: Keeping up with key developments";"http://www.cnn.com/2013/09/12/world/meast/syria-developments/index.html"
8134;193157;1765914233;"Five years later, a distracted president struggles with the economy";"http://www.cnn.com/2013/09/16/politics/obama-economy-five-years-later/index.html"
112;193157;1753470337;"Rebel leader: Syria moving its chemical weapons into Iraq, Lebanon";"http://www.cnn.com/2013/09/12/world/meast/syria-rebel-leader-accusation/index.html"
22617;193157;1758700553;"U.S., Russia see glimmer of hope as Syria talks enter 3rd day ";"http://www.cnn.com/2013/09/14/politics/us-syria/index.html"
103;193157;1752580655;"Developmentally delayed Massachusetts girl, 17, found in Rhode Island";"http://www.cnn.com/2013/09/12/us/massachusetts-teen-found/index.html"
2654;193157;1774842653;"Confused about Obamacare? Don't be ";"http://www.cnn.com/2013/09/18/opinion/carroll-obamacare-poll/index.html"
352;193157;1776013177;"Killing of anti-facist activist allegedly by right-winger sparks clashes in Greece";"http://www.cnn.com/2013/09/18/world/europe/greece-clashes/index.html"
685;193157;1783667731;"Pakistan releases Afghan Taliban's former second-in-command";"http://www.cnn.com/2013/09/21/world/asia/pakistan-mullah-baradar-release/index.html"
2055;193157;1760847610;"'Thank y'all': Texas cooking show brings Deen back in public eye";"http://www.cnn.com/2013/09/14/us/paula-deen-first-public-appearance/index.html"
181;193157;1767608553;"AEG Live backs down on calling Michael Jackson's mom";"http://www.cnn.com/2013/09/16/showbiz/michael-jackson-death-trial/index.html"
9981;193157;1765090371;"North Carolina, New York: 2 police shootings, 2 sets of questions";"http://www.cnn.com/2013/09/16/justice/police-shootings/index.html"
892;193157;1755006004;"Syria civil war: 5 things to pay attention to today";"http://www.cnn.com/2013/09/13/world/meast/syria-civil-war-diplomacy/index.html"
356;193157;1771681985;"Siri leaves beta, enters manhood";"http://www.cnn.com/2013/09/17/tech/mobile/siri-changes-ios-7/index.html"
207;193157;1755387429;"Fake mustaches, hidden cameras, 80,000 agents: How Stasi brutalized a nation";"http://www.cnn.com/2013/09/13/world/europe/stasi-images-book/index.html"
3706;193157;1768723264;"Navy Yard shooting: AR-15, the weapon of choice -- again";"http://www.cnn.com/2013/09/17/us/ar-15-gun-debate/index.html"
1272;193157;1779079047;"Venezuela: U.S. denied airspace permission to presidential plane";"http://www.cnn.com/2013/09/19/world/americas/venezuela-us-presidential-plane/index.html"
2574;193157;1755689270;"Anti-gay law shames Putin's Russia";"http://www.cnn.com/2013/09/13/opinion/lokshina-russia-gay-persecution/index.html"
692;193157;1754386068;"Blobfish declared world's ugliest animal";"http://www.cnn.com/2013/09/12/travel/blobfish-ugly-animal/index.html"
382;193157;1754432111;"Don't waste money on your wedding!";"http://www.cnn.com/2013/09/13/living/matrimony-biggest-money-waste/index.html"
2512;193157;1779395377;"Man's gut fermented food into alcohol, making him drunk, case study finds";"http://www.cnn.com/2013/09/19/health/gut-fermentation-syndrome/index.html"
146;193157;1745660457;"Attorney Mark O'Mara drops George Zimmerman";"http://www.cnn.com/2013/09/10/justice/zimmerman-lawyer/index.html"
841;193157;1765650469;"GOP strategy on shutdown courts doom";"http://www.cnn.com/2013/09/16/opinion/zelizer-gop-government-shutdown/index.html"
1180;193157;1774505387;"It's a long shot, but lottery players reach for $400 million Powerball jackpot";"http://www.cnn.com/2013/09/18/us/powerball-jackpot-odds/index.html"
311;193157;1764588213;"International adoptions in decline as number of orphans grows";"http://www.cnn.com/2013/09/16/world/international-adoption-main-story-decline/index.html"
1595;193157;1782494342;"Two teens attack one's mom, plan to eat her liver after pill binge, deputy says";"http://www.cnn.com/2013/09/20/us/teens-attack-mom-spokane/index.html"
140;193157;1751056548;"Coming soon: World's first 'invisible' tower";"http://www.cnn.com/2013/09/12/travel/seoul-invisible-skyscraper-tower-infinity/index.html"
242;193157;1755057553;"Philippine president warns Muslim rebels holding hostages in Zamboanga";"http://www.cnn.com/2013/09/13/world/asia/philippines-muslim-rebels-standoff/index.html"
432;193157;1768399427;"Naomi Campbell, Iman call for an end to runway racism";"http://www.cnn.com/2013/09/17/living/models-runway-race/index.html"
